request,response
"GET /async/newtab_promos HTTP/1.1
Host: www.google.com
Connection: close
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: no-cors
Sec-Fetch-Dest: empty
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Version: 352753590
Content-Type: application/json; charset=UTF-8
X-Content-Type-Options: nosniff
Content-Disposition: attachment; filename=""f.txt""
Date: Sat, 23 Jan 2021 17:04:36 GMT
Server: gws
Cache-Control: private
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close
Content-Length: 29"
"GET /async/newtab_ogb?hl=en-US&async=fixed:0 HTTP/1.1
Host: www.google.com
Connection: close
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: no-cors
Sec-Fetch-Dest: empty
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Version: 352753590
Content-Type: application/json; charset=UTF-8
X-Content-Type-Options: nosniff
Strict-Transport-Security: max-age=31536000
Content-Disposition: attachment; filename=""f.txt""
Date: Sat, 23 Jan 2021 17:04:36 GMT
Server: gws
Cache-Control: private
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close
Content-Length: 166472"
"POST /ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard HTTP/1.1
Host: accounts.google.com
Connection: close
Content-Length: 1
Origin: https://www.google.com
Content-Type: application/x-www-form-urlencoded
Sec-Fetch-Site: none
Sec-Fetch-Mode: no-cors
Sec-Fetch-Dest: empty
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Content-Type: application/json; charset=utf-8
Access-Control-Allow-Origin: https://www.google.com
Access-Control-Allow-Credentials: true
X-Content-Type-Options: nosniff
Cache-Control: no-cache, no-store, max-age=0, must-revalidate
Pragma: no-cache
Expires: Mon, 01 Jan 1990 00:00:00 GMT
Date: Sat, 23 Jan 2021 17:04:36 GMT
Strict-Transport-Security: max-age=31536000
Cross-Origin-Resource-Policy: cross-origin
Content-Security-Policy: script-src 'report-sample' 'nonce-I1VVO8wrGzR27/YrVdpkog' 'unsafe-inline';object-src 'none';base-uri 'self';report-uri /_/IdentityListAccountsHttp/cspreport;worker-src 'self'
Content-Security-Policy: script-src 'nonce-I1VVO8wrGzR27/YrVdpkog' 'self' 'unsafe-eval' https://apis.google.com https://ssl.gstatic.com https://www.google.com https://www.gstatic.com https://www.google-analytics.com;report-uri /_/IdentityListAccountsHttp/cspreport
Server: ESF
X-XSS-Protection: 0
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close
Content-Length: 19"
"GET /og/_/js/k=og.qtm.en_US.0uM-YYobAVg.O/rt=j/m=q_d,qmd,qcwid,qmutsd,qapid,qald/exm=qaaw,qabr,qadd,qaid,qalo,qebr,qein,qhaw,qhbr,qhch,qhga,qhid,qhin,qhlo,qhmn,qhpc,qhpr,qhsf,qhtb,qhtt/d=1/ed=1/rs=AA2YrTsHV_6QDwsxjHdOvXnpgoeLwIRQsg HTTP/1.1
Host: www.gstatic.com
Connection: close
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept: */*
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: no-cors
Sec-Fetch-Dest: script
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Accept-Ranges: bytes
Vary: Accept-Encoding, Origin
Content-Type: text/javascript; charset=UTF-8
Cross-Origin-Resource-Policy: cross-origin
Content-Length: 116928
Date: Tue, 19 Jan 2021 08:07:46 GMT
Expires: Wed, 19 Jan 2022 08:07:46 GMT
Last-Modified: Fri, 15 Jan 2021 02:51:01 GMT
X-Content-Type-Options: nosniff
Server: sffe
X-XSS-Protection: 0
Cache-Control: public, max-age=31536000
Age: 377811
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close"
"GET /_/scs/abc-static/_/js/k=gapi.gapi.en.L7mys-cL6BM.O/m=gapi_iframes,googleapis_client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo8QoBZWYtEZfsgOGqh_X1WKvJV7Wg/cb=gapi.loaded_0 HTTP/1.1
Host: apis.google.com
Connection: close
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept: */*
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: no-cors
Sec-Fetch-Dest: script
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Accept-Ranges: bytes
Vary: Accept-Encoding
Content-Type: text/javascript; charset=UTF-8
Cross-Origin-Resource-Policy: cross-origin
Content-Length: 100884
Date: Fri, 22 Jan 2021 23:28:56 GMT
Expires: Sat, 22 Jan 2022 23:28:56 GMT
Last-Modified: Tue, 05 Jan 2021 15:28:05 GMT
X-Content-Type-Options: nosniff
Server: sffe
X-XSS-Protection: 0
Cache-Control: public, max-age=31536000
Age: 63341
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close"
"GET /widget/app/so?origin=chrome-search%3A%2F%2Flocal-ntp&cn=app&pid=1&spid=243&hl=en HTTP/1.1
Host: ogs.google.com
Connection: close
Origin: chrome-search://local-ntp
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept: application/signed-exchange;v=b3;q=0.9,*/*;q=0.8
Purpose: prefetch
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: empty
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Content-Type: text/html; charset=utf-8
Access-Control-Allow-Origin: chrome-search://local-ntp
Access-Control-Allow-Credentials: true
X-Frame-Options: ALLOW-FROM chrome-search://local-ntp
x-ua-compatible: IE=edge
Expires: Sat, 23 Jan 2021 17:04:37 GMT
Date: Sat, 23 Jan 2021 17:04:37 GMT
Cache-Control: private, max-age=259200
P3P: CP=""This is not a P3P policy! See g.co/p3phelp for more info.""
Strict-Transport-Security: max-age=31536000
Cross-Origin-Resource-Policy: cross-origin
Content-Security-Policy: script-src 'report-sample' 'nonce-q4ng2bAnysnAcFHsWJqa/g' 'unsafe-inline';object-src 'none';base-uri 'self';report-uri /_/OneGoogleWidgetUi/cspreport;worker-src 'self'
Content-Security-Policy: script-src 'nonce-q4ng2bAnysnAcFHsWJqa/g' 'self' 'unsafe-eval' https://apis.google.com https://ssl.gstatic.com https://www.google.com https://www.gstatic.com https://www.google-analytics.com;report-uri /_/OneGoogleWidgetUi/cspreport;frame-ancestors chrome-search://local-ntp
Server: ESF
X-XSS-Protection: 0
X-Content-Type-Options: nosniff
Set-Cookie: NID=207=aknepIjGrXMdlfrxk45180wCqUU4lDaoX7tQ9q8BFNJMR3E2oJIQm1d60IJ5o8U4sm4ONmkzFl4o-ebKl5zS7I4cgJySShn-bxUwZC6GwHEjEHcw362qeofa_lM-wSu1zJscGGqNNEhcMFs4h2ITOHaR15Ub9SDOYdfza3wM2tk; expires=Sun, 25-Jul-2021 17:04:37 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=none
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close
Content-Length: 47491"
"GET /search?q=sdfsdfsdf&oq=sdfsdfsdf&aqs=chrome..69i57.2445j0j4&sourceid=chrome&ie=UTF-8 HTTP/1.1
Host: www.google.com
Connection: close
Upgrade-Insecure-Requests: 1
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.9
Sec-Fetch-Site: none
Sec-Fetch-Mode: navigate
Sec-Fetch-User: ?1
Sec-Fetch-Dest: document
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9
Cookie: NID=207=aknepIjGrXMdlfrxk45180wCqUU4lDaoX7tQ9q8BFNJMR3E2oJIQm1d60IJ5o8U4sm4ONmkzFl4o-ebKl5zS7I4cgJySShn-bxUwZC6GwHEjEHcw362qeofa_lM-wSu1zJscGGqNNEhcMFs4h2ITOHaR15Ub9SDOYdfza3wM2tk","HTTP/1.1 200 OK
Content-Type: text/html; charset=UTF-8
Date: Sat, 23 Jan 2021 17:04:42 GMT
Expires: -1
Cache-Control: private, max-age=0
Strict-Transport-Security: max-age=31536000
P3P: CP=""This is not a P3P policy! See g.co/p3phelp for more info.""
Server: gws
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
Set-Cookie: 1P_JAR=2021-01-23-17; expires=Mon, 22-Feb-2021 17:04:42 GMT; path=/; domain=.google.com; Secure; SameSite=none
Set-Cookie: CGIC=IocBdGV4dC9odG1sLGFwcGxpY2F0aW9uL3hodG1sK3htbCxhcHBsaWNhdGlvbi94bWw7cT0wLjksaW1hZ2UvYXZpZixpbWFnZS93ZWJwLGltYWdlL2FwbmcsKi8qO3E9MC44LGFwcGxpY2F0aW9uL3NpZ25lZC1leGNoYW5nZTt2PWIzO3E9MC45; expires=Thu, 22-Jul-2021 17:04:42 GMT; path=/complete/search; domain=.google.com; HttpOnly
Set-Cookie: CGIC=IocBdGV4dC9odG1sLGFwcGxpY2F0aW9uL3hodG1sK3htbCxhcHBsaWNhdGlvbi94bWw7cT0wLjksaW1hZ2UvYXZpZixpbWFnZS93ZWJwLGltYWdlL2FwbmcsKi8qO3E9MC44LGFwcGxpY2F0aW9uL3NpZ25lZC1leGNoYW5nZTt2PWIzO3E9MC45; expires=Thu, 22-Jul-2021 17:04:42 GMT; path=/search; domain=.google.com; HttpOnly
Set-Cookie: NID=207=h_qtxUv7EdJHoqbKXRki1T0k_XLmEV_gtbR-llezQwTf-V04xrInA1vi4EXZJ0i5jqkzv9PMZuk3-JOeCjk3mW8c7YVXjpbXz3y2s2vXs8wHGzMj_aCeMF9i4baYZy85za_YAHEJT1_gY9FSowmEPReSjwNVGJzVUGSbtg8uvR8; expires=Sun, 25-Jul-2021 17:04:41 GMT; path=/; domain=.google.com; Secure; HttpOnly; SameSite=none
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close
Content-Length: 273432"
"GET /s/googlesans/v14/4UaGrENHsxJlGDuGo1OIlL3Owp4.woff2 HTTP/1.1
Host: fonts.gstatic.com
Connection: close
Origin: https://www.google.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept: */*
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: font
Referer: https://www.google.com/
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Accept-Ranges: bytes
Content-Type: font/woff2
Access-Control-Allow-Origin: *
Timing-Allow-Origin: *
Content-Length: 21464
Date: Mon, 18 Jan 2021 20:02:32 GMT
Expires: Tue, 18 Jan 2022 20:02:32 GMT
Last-Modified: Mon, 22 Apr 2019 23:42:59 GMT
X-Content-Type-Options: nosniff
Server: sffe
X-XSS-Protection: 0
Cache-Control: public, max-age=31536000
Age: 421331
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close"
"GET /s/googlesans/v14/4UaGrENHsxJlGDuGo1OIlL3Kwp5MKg.woff2 HTTP/1.1
Host: fonts.gstatic.com
Connection: close
Origin: https://www.google.com
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Accept: */*
Sec-Fetch-Site: cross-site
Sec-Fetch-Mode: cors
Sec-Fetch-Dest: font
Referer: https://www.google.com/
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9","HTTP/1.1 200 OK
Accept-Ranges: bytes
Content-Type: font/woff2
Access-Control-Allow-Origin: *
Timing-Allow-Origin: *
Content-Length: 10928
Date: Fri, 22 Jan 2021 23:12:16 GMT
Expires: Sat, 22 Jan 2022 23:12:16 GMT
Last-Modified: Mon, 22 Apr 2019 23:42:55 GMT
X-Content-Type-Options: nosniff
Server: sffe
X-XSS-Protection: 0
Cache-Control: public, max-age=31536000
Age: 64347
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close"
"POST /gen_204?s=web&t=aft&atyp=csi&ei=KVcMYMjdOfyGwPAPzIGL8AY&rt=wsrt.754,aft.226,sct.120&imn=14&ima=3&imad=2&aftp=661&bl=mytb HTTP/1.1
Host: www.google.com
Connection: close
Content-Length: 0
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36
Content-Type: text/plain;charset=UTF-8
Accept: */*
Origin: https://www.google.com
Sec-Fetch-Site: same-origin
Sec-Fetch-Mode: no-cors
Sec-Fetch-Dest: empty
Referer: https://www.google.com/
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.9
Cookie: 1P_JAR=2021-01-23-17; NID=207=h_qtxUv7EdJHoqbKXRki1T0k_XLmEV_gtbR-llezQwTf-V04xrInA1vi4EXZJ0i5jqkzv9PMZuk3-JOeCjk3mW8c7YVXjpbXz3y2s2vXs8wHGzMj_aCeMF9i4baYZy85za_YAHEJT1_gY9FSowmEPReSjwNVGJzVUGSbtg8uvR8","HTTP/1.1 204 No Content
Content-Type: text/html; charset=UTF-8
Date: Sat, 23 Jan 2021 17:04:43 GMT
Server: gws
Content-Length: 0
X-XSS-Protection: 0
X-Frame-Options: SAMEORIGIN
Alt-Svc: h3-29="":443""; ma=2592000,h3-T051="":443""; ma=2592000,h3-Q050="":443""; ma=2592000,h3-Q046="":443""; ma=2592000,h3-Q043="":443""; ma=2592000,quic="":443""; ma=2592000; v=""46,43""
Connection: close"
